Id,Tweet,is_retweet,following,followers,actions,label
732113322133327872,"Found a Transponder Snail! A whale of an encounter! ""We'll meet here again!"" https://t.co/O6WynL729Q #TreCru https://t.co/rJlyRe67Xm",0,1,0,0,1
732113326327631872,Find a Local Hookup: https://t.co/K6GLZPoEPe  #XXX #fuck #exgfs #tranny #Amazing #sextape #EpicAnal https://t.co/Y59qF0cvMJ,0,0,29,1,1
732113330509369344,18 people followed me and 8 people unfollowed me // automatically checked by https://t.co/Q9Iu7weqVP,0,1314,1723,0,1
732113347294969857,naked redhead lickingballs https://t.co/bn6LgcQ5uf,0,0,13,0,1
732113351510200320,All About HKT48 ? visit https://t.co/EIJSWUH3By and https://t.co/a5U2k1ueoH to Download @yukisann01 https://t.co/yYWiDNc961,0,100,2654,0,1
732566294394863616,RT @LiveDrive: #WIN tickets to @dublinbusnews's Ghost Tour. Explore the dark side of Dublin! RT to enter https://t.co/inhZRpfRwp,0,1724,416,57,1
732566294369697792,Found a Transponder Snail! What's inside? Mystery barrel's shocking secret!! https://t.co/RWcaq0SqG6 #TreCru https://t.co/gBl8wI5EZF,0,0,0,0,1
732566302775091201,You are highly strategic in your planning because your profess... More for Capricorn https://t.co/DzLQphLCwp,0,0,379,0,1
732566306969559040,"House, OnTheMarket, Saracen Way, Penryn, �10,000 https://t.co/yF0kTEyjcx",0,0,113,0,1
732566306965323776,"House, OnTheMarket, Saracen Way, Penryn, �10,000 https://t.co/sNxR5eZLP9",0,0,113,0,1
732566365702361088,Something just checked out the TweetyPi birdbox at 2016-05-17 14:40:03.502749 https://t.co/YaLmCKFy04,0,0,19,0,1
732566365693874176,"Maintaining a cool and calm attitude can be a challenge today,... More for Aries https://t.co/GEXauIDQA3",0,22,1,0,1
732566374069895168,#nipples #clit #bigTits Babe bound in red stockings withI a bat https://t.co/lPdnF8oLC8,0,0,8269,5,1
732566390838792192,Ebony godess gets double fucked https://t.co/XIhGKpLWYM,0,5,2,0,1
732566403430133760,blowjobs college Gros plan dans ce dormroom https://t.co/I2RipPnf9W,0,0,3,0,1
732566403455328257,Beatrice - Chelsea Escort Agency with Agency Barracuda https://t.co/IH6sPrKZ8p Hire local #GlamourGirls #GFE UK https://t.co/x7Gc1xWO5C,0,649,142,0,1
732566407620263939,"I've harvested 1,005 of food!  https://t.co/VTtBxTQhvH #android, #androidgames, #gameinsight",0,2,0,0,1
732566424414195712,asian wife pussyallone https://t.co/GPhbfTzHIj,0,0,6,0,1
732566436971847681,"Your creative prowess is readily apparent at work today, embol... More for Leo https://t.co/fqRwjCUTJv",0,134,120,0,1
732566437001302016,I just received a reward: Banker https://t.co/PH9wkhimpj #Android #Androidgames #Gameinsight,0,2,0,0,1
732566449554882562,Click here for 5 Free Spins! https://t.co/tRNUhjwKAs,0,86,3,0,1
732566453778558977,Win A Macbook and Make Money Programs  @nickjamescom and @appzthatrock: Enter now! https://t.co/0N4fEQnBWD,0,1008,65,0,1
732566453786796032,Check out my score on GyroSphere Trials! https://t.co/o148f5cKv6 https://t.co/S2WOpmloKv,0,64,18,11,1
732566466340388866,"Your creative prowess is readily apparent at work today, embol... More for Leo https://t.co/adiWCfylWb",0,113,66,0,1
732566466332135424,&lt;For Guys - 3 ways to give her multiple orgasms back to back and make her want to come back for more - https://t.co/vjViAcRZfK,0,145536,180093,0,1
732566466357256192,What,0,684,736,0,1
732566470547345409,one person followed me // automatically checked by https://t.co/oaWCyvBYS1,0,233,546,0,1
732566474737377282,My House Flo Rida | Free Download Music MP3Free Download Music MP3 https://t.co/aF8p8EQiCV,0,35,0,0,1
732566474733330434,I've finished the Bean Diet quest! Are you able to fulfil the same task? https://t.co/4hR8Brz47K #gameinsight,0,3,0,0,1
732566474754297856,05/17 09:39 / redact https://t.co/kCUCvJBIMR / Breathing Difficulty (6B9) / T15 / 076K / EMS41,0,0,3337,0,1
732566474737487872,RT @AboutVirgos: Don't lose a #Virgo as a friend. They are the most loyal of them all.,0,10651,21115,397,1
732566478935887872,You are highly strategic in your planning because your profess... More for Capricorn https://t.co/5gkiB5tKzh,0,254,197,0,1
732566478948466689,Mola evolved to rank6:Mola king! Free nurturing game [Survive! Mola mola!] #MolaMola https://t.co/cA2YOwUOTh https://t.co/ORdReHNYho,0,62,5,0,1
732566483113549824,SQFAV0RS: #FTL gue jual album  the red red ver 195k  Lmr k ver 175k Semua no damage &amp; fullset+poster. Minat? Dm BJHRVE,0,0,147,0,1
732566491527139328,reserve a G-pod dwell today - see the standard specifications then add additions you need https://t.co/5d5vuJ2k4K https://t.co/0FOXJSCp97,0,69925,67328,1,1
732566491497922561,"Steampunk Top Hat Cross Stitch Pattern, Instant Download PDF https://t.co/GIHZKa2zpd",0,189,1413,0,1
732566495717253120,"Your creative prowess is readily apparent at work today, embol... More for Leo https://t.co/GiO0mhJsOa",0,169,71,0,1
732566508304404480,Found a Transponder Snail! Killer rabbits?! Amazing fauna on one winter isle! https://t.co/RWcaq0SqG6 #TreCru https://t.co/iy90Mytk3N,0,0,0,0,1
